2024-10-25 15:25:35.771064,######################################################################
2024-10-25 15:25:35.771620,### UKRAA: The Pico Muon Detector                                  ###
2024-10-25 15:25:35.774320,### S/W version: 0.1.3                                             ###
2024-10-25 15:25:35.774782,######################################################################
2024-10-25 15:25:35.775307,ID, Event, ADC(0-1024), EllapsedTime(mS), DeadTime(mS), Temperature(C), Pressure(hPa)
2024-10-25 15:25:37.778469,T,1,106,1081,3,23.2,812.3
2024-10-25 15:25:37.779518,B,1,50,1226,1,23.2,812.3
2024-10-25 15:25:37.780373,T,2,149,1302,3,23.2,812.3
2024-10-25 15:25:37.781485,T,3,190,1726,3,23.2,812.3
2024-10-25 15:25:37.782482,T,4,363,1851,3,23.2,812.3
2024-10-25 15:25:37.783487,B,2,426,1851,1,23.2,812.3
2024-10-25 15:25:37.784487,C,1,394,1851,2,23.2,812.3
2024-10-25 15:25:38.798542,T,5,314,2379,4,23.2,812.3
2024-10-25 15:25:38.798774,B,3,142,2406,2,23.2,812.3
2024-10-25 15:25:39.807556,B,4,260,3345,3,23.2,812.3
2024-10-25 15:25:39.808604,T,6,302,3710,6,23.2,812.3
2024-10-25 15:25:40.817643,T,7,138,4390,6,23.2,812.3
2024-10-25 15:25:40.817910,B,5,229,5016,4,23.2,812.3
2024-10-25 15:25:41.848671,T,8,246,5393,7,25.4,1011.9
2024-10-25 15:25:42.857726,T,9,739,6838,10,25.4,1011.9
2024-10-25 15:25:42.858783,T,10,207,6960,10,25.4,1011.9
2024-10-25 15:25:42.859017,T,11,87,7004,10,25.4,1011.9
2024-10-25 15:25:43.867795,B,6,250,7199,7,25.4,1011.9
2024-10-25 15:25:43.868050,B,7,128,7265,7,25.4,1011.9
2024-10-25 15:25:43.868826,T,12,68,7353,13,25.4,1011.9
2024-10-25 15:25:43.869814,T,13,135,7460,13,25.4,1011.9
2024-10-25 15:25:43.870800,T,14,101,7667,13,25.4,1011.9
2024-10-25 15:25:43.871805,B,8,395,8064,7,25.4,1011.9
2024-10-25 15:25:44.887036,B,9,69,8146,10,25.4,1011.9
2024-10-25 15:25:44.887920,B,10,336,8900,10,25.4,1011.9
2024-10-25 15:25:44.890857,T,15,340,9040,14,25.4,1011.9
2024-10-25 15:25:44.891864,B,11,365,9040,10,25.4,1011.9
2024-10-25 15:25:44.892853,C,2,352,9040,12,25.4,1011.9
2024-10-25 15:25:44.893845,T,16,57,9083,14,25.4,1011.9
2024-10-25 15:25:45.907107,B,12,261,9131,12,25.4,1011.9
2024-10-25 15:25:45.910070,B,13,102,9429,12,25.4,1011.9
2024-10-25 15:25:45.910357,B,14,51,9577,12,25.4,1011.9
2024-10-25 15:25:45.910615,T,17,451,9588,15,25.4,1011.9
2024-10-25 15:25:45.911007,B,15,60,9603,12,25.4,1011.9
2024-10-25 15:25:46.927938,T,18,139,10714,17,25.4,1011.9
2024-10-25 15:25:46.929037,T,19,75,10896,17,25.4,1011.9
2024-10-25 15:25:46.931007,B,16,103,11066,13,25.4,1011.9
2024-10-25 15:25:47.947985,T,20,388,11313,18,25.4,1011.9
2024-10-25 15:25:47.948244,B,17,62,11789,13,25.4,1011.9
2024-10-25 15:25:48.957262,T,21,288,12207,20,25.4,1011.9
2024-10-25 15:25:48.958101,T,22,62,12498,20,25.4,1011.9
2024-10-25 15:25:48.959067,B,18,90,12621,15,25.4,1011.9
2024-10-25 15:25:48.960070,B,19,263,12854,15,25.4,1011.9
2024-10-25 15:25:49.968088,T,23,389,13474,22,25.4,1011.9
2024-10-25 15:25:49.968357,B,20,250,13559,16,25.4,1011.9
2024-10-25 15:25:49.969173,T,24,203,14182,22,25.4,1011.9
2024-10-25 15:25:50.988144,T,25,76,14985,22,25.4,1011.9
2024-10-25 15:25:52.008195,T,26,136,15963,24,25.4,1011.9
2024-10-25 15:25:52.008470,T,27,225,16183,24,25.4,1011.9
2024-10-25 15:25:52.009281,B,21,473,16217,17,25.4,1011.9
2024-10-25 15:25:53.018242,B,22,119,16464,20,25.4,1011.9
2024-10-25 15:25:53.019308,B,23,658,16662,20,25.4,1011.9
2024-10-25 15:25:53.019544,B,24,100,16899,20,25.4,1011.9
2024-10-25 15:25:53.020289,T,28,314,16937,25,25.4,1011.9
2024-10-25 15:25:54.028293,B,25,121,18022,22,25.4,1011.9
2024-10-25 15:25:54.029364,T,29,356,18038,27,25.4,1011.9
2024-10-25 15:25:54.032187,B,26,525,18038,22,25.4,1011.9
2024-10-25 15:25:54.032417,C,3,441,18038,24,25.4,1011.9
2024-10-25 15:25:55.048346,B,27,56,18863,24,25.4,1011.9
2024-10-25 15:25:55.049406,B,28,328,18956,24,25.4,1011.9
2024-10-25 15:25:55.050391,T,30,137,19196,28,25.4,1011.9
2024-10-25 15:25:55.050622,T,31,150,19198,28,25.4,1011.9
2024-10-25 15:25:55.050846,B,29,97,19261,24,25.4,1011.9
2024-10-25 15:33:26.728565,######################################################################
2024-10-25 15:33:26.729063,### UKRAA: The Pico Muon Detector                                  ###
2024-10-25 15:33:26.729523,### S/W version: 0.1.3                                             ###
2024-10-25 15:33:26.729961,######################################################################
2024-10-25 15:33:26.730498,ID, Event, ADC(0-1024), EllapsedTime(mS), DeadTime(mS), Temperature(C), Pressure(hPa)
2024-10-25 15:33:28.732272,T,1,68,1240,0,23.2,812.3
2024-10-25 15:33:28.732540,B,1,233,1351,2,23.2,812.3
2024-10-25 15:33:28.733110,B,2,257,1353,2,23.2,812.3
2024-10-25 15:33:29.751280,T,2,164,2623,1,23.2,812.3
2024-10-25 15:33:29.752289,T,3,75,2731,1,23.2,812.3
2024-10-25 15:33:30.760547,T,4,233,3238,4,23.2,812.3
2024-10-25 15:33:30.762194,B,3,156,3339,2,23.2,812.3
2024-10-25 15:33:30.762397,T,5,98,3565,4,23.2,812.3
2024-10-25 15:33:30.763301,T,6,158,3602,4,23.2,812.3
2024-10-25 15:33:31.770601,B,4,84,4390,5,23.2,812.3
2024-10-25 15:33:31.772290,T,7,138,4422,5,23.2,812.3
2024-10-25 15:33:31.772512,B,5,312,4799,5,23.2,812.3
